Title,Link
Home,index.php
About,#
President's Message,presidents-message.php
Principal's Desk,principals-desk.php
Governing Body (GB) & CDC,governing.php
About SKNSCOE,About-us.php
Governance & Policies,governance.php
Committees,Committees.php
Study In INDIA,https://forms.gle/U6F1jYTK314mgDza7
Code of Conduct,downloads/Code-of-Conduct-SKNSCOE-PANDHARPUR.pdf
Institution's Innovation Council,iic-new.php
Programs,programs.php
Facilities,facilities.php
EDC Cell,edc-cell.php
NISP,nisp.php
Admission,Admission.php
Departments,#
Civil Engineering,Civil.php
Computer Science and Engineering,ComputerScience.php
Electrical Engineering,Electrical.php
Electronics and Telecommunication Engineering,e&tc.php
Mechanical Engineering,Mechanical.php
First Year B.Tech.,fe.php
NAAC,#
Institute Best Practice,BestPractices.php
Institutional Distinctiveness,InstituteDistinctivenes.php
IQAC,IQAC.php
Student Satisfaction Survey,studentSatisfactionSurvey.php
AQAR Report,AQAR.php
Self Study Report (SSR),ssr.php
NIRF,nirf.php
Library,#
Library Services,Library.php
Library WEBOPAC,http://library.sinhgad.edu/cgi-bin/koha/opac-main.pl
Students,#
Academic Calendar,academicCalendar.php
Alumni,Alumni.php
MOODLE Server,http://103.99.146.35/
Syllabus,Syllabus.php
Feedback,#
Curriculum,curriculum.php
Academic Performance & Ambiance,academic_performance_ambience.php
Research,#
Research & Development,Research.php
AICTE-Idea Lab,aicte-idealab.php
Placements,Placements.php
Gallery,hogallery.php
Contact Us,contact-us.php
"SKN Sinhgad College of Engineering, Pandharpur",
• Book of Principal Dr. Kailash J. Karande published by Bentham Science Publisher,https://www.eurekaselect.com/ebook_volume/3737/
"• Springer Scopus Indexed 2nd International Conference on Sustainable Innovations in Civil and Mechanical Engineering (ICSICME-2025) on June 27-28, 2025",https://www.icsicme.com
"• 3rd International Conference on Intelligent Systems & Machine Intelligence (ICISMI) on August 22nd & 23rd, 2025",https://icismi.sknscoe.ac.in//
"• 2nd Aditya-The Solar Mania, 2K25 from March 13th to 16th, 2025",https://aditya.sknscoe.ac.in/
